feature,importance
num__id,0.13263400582489657
num__duration_hours,0.12065533675549237
num__advance_days,0.11342005218429112
num__avg_temp,0.10399489680316926
num__budget_category,0.06494456066048049
num__has_online_stream,0.027398106650372418
num__partner_involvement,0.025344965939105686
cat__day_of_week_вторник,0.025292882560472234
cat__season_лето,0.02406576325579541
cat__theme_народы Поволжья,0.021651306118550158
cat__event_type_выставка,0.02143733275686335
cat__event_type_концерт,0.021218591541913252
cat__season_зима,0.020974233163544756
cat__day_of_week_пятница,0.02052265421244904
cat__theme_Сибири,0.020401462560519557
cat__season_весна,0.02035235616246826
cat__event_type_мастер-класс,0.02006501616253775
cat__theme_Центральной России,0.019889046178293946
cat__event_type_фестиваль,0.01966568939470395
cat__season_осень,0.01939638904356279
